Scenario,op,bm,mle,dcl,ai,mle50
Scenario A,100,93.12,99.43,98.27,99.12,87.12
Scenario B,100,58.71,73.15,98.56,98.59,93.01
Scenario C,100,74.31,69.32,96.41,93.14,75.41
Scenario D,100,52.56,70.49,92.51,97.14,89.21
Scenario E,100,77.15,68.12,88.41,90.15,74.25
Scenario F,100,39.98,48.13,93.18,95.01,85.17
