day,d,op,mle,mle20,mle30,mle50,mle100,mle150,mle200,mle300,mle500
0,135,81.01,72.41,72.41,72.41,72.41,72.41,72.41,72.41,72.41,72.41
1,57,103.29,98.38,98.38,98.38,98.38,98.38,98.38,98.38,98.38,98.38
2,105,173.57,170.78,170.78,170.78,170.78,170.78,170.78,170.78,170.78,170.78
3,94,232.85,233.75,233.75,233.75,233.75,233.75,233.75,233.75,233.75,233.75
4,121,313.87,309.64,309.64,309.64,309.64,309.64,309.64,309.64,309.64,309.64
5,87,366.15,362.98,362.98,362.98,362.98,362.98,362.98,362.98,362.98,362.98
6,107,438.43,437.66,437.66,437.66,437.66,437.66,437.66,437.66,437.66,437.66
7,62,465.71,464.66,464.66,464.66,464.66,464.66,464.66,464.66,464.66,464.66
8,108,538.99,539.25,539.25,539.25,539.25,539.25,539.25,539.25,539.25,539.25
9,106,610.27,610.62,610.62,610.62,610.62,610.62,610.62,610.62,610.62,610.62
10,128,691.28,692.24,692.24,692.24,692.24,692.24,692.24,692.24,692.24,692.24
11,58,714.56,714.36,714.36,714.36,714.36,714.36,714.36,714.36,714.36,714.36
12,98,777.84,777.42,777.42,777.42,777.42,777.42,777.42,777.42,777.42,777.42
13,114,857.12,856.81,856.81,856.81,856.81,856.81,856.81,856.81,856.81,856.81
14,129,938.13,939.43,939.43,939.43,939.43,939.43,939.43,939.43,939.43,939.43
15,112,1015.41,1015.27,1015.27,1015.27,1015.27,1015.27,1015.27,1015.27,1015.27,1015.27
16,96,1076.69,1074.75,1074.75,1074.75,1074.75,1074.75,1074.75,1074.75,1074.75,1074.75
17,69,1110.98,1107.79,1107.79,1107.79,1107.79,1107.79,1107.79,1107.79,1107.79,1107.79
18,58,1134.26,1130.57,1130.25,1130.57,1130.57,1130.57,1130.57,1130.57,1130.57,1130.57
19,54,1153.54,1149.88,1148.19,1149.88,1149.88,1149.88,1149.88,1149.88,1149.88,1149.88
20,102,1220.82,1217.68,1215.96,1217.68,1217.68,1217.68,1217.68,1217.68,1217.68,1217.68
21,86,1272.1,1269.51,1268.54,1269.51,1269.51,1269.51,1269.51,1269.51,1269.51,1269.51
22,106,1343.38,1341.79,1340.58,1341.79,1341.79,1341.79,1341.79,1341.79,1341.79,1341.79
23,69,1377.66,1376.96,1376.35,1376.96,1376.96,1376.96,1376.96,1376.96,1376.96,1376.96
