day,d,op,mle,mle20,mle30,mle50,mle100,mle150,mle200,mle300,mle500
0,135,25.28,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.48
1,57,23.29,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.36
2,105,48.57,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84
3,94,73.85,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32
4,121,99.13,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79
5,87,124.41,122.82,122.82,122.82,122.82,122.82,122.82,122.82,122.82,122.82
6,107,149.69,148.36,148.36,148.36,148.36,148.36,148.36,148.36,148.36,148.36
7,62,152.71,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72
8,108,177.99,173.57,173.57,173.57,173.57,173.57,173.57,173.57,173.57,173.57
9,106,203.27,197.76,197.76,197.76,197.76,197.76,197.76,197.76,197.76,197.76
10,128,228.55,222.26,222.26,222.26,222.26,222.26,222.26,222.26,222.26,222.26
11,58,227.56,222.42,222.42,222.42,222.42,222.42,222.42,222.42,222.42,222.42
12,98,252.84,245.89,245.89,245.89,245.89,245.89,245.89,245.89,245.89,245.89
13,114,278.12,269.61,269.61,269.61,269.61,269.61,269.61,269.61,269.61,269.61
14,129,303.4,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56
15,112,328.68,317.74,317.74,317.74,317.74,317.74,317.74,317.74,317.74,317.74
16,96,353.96,342.13,342.13,342.13,342.13,342.13,342.13,342.13,342.13,342.13
17,69,363.98,353.74,353.74,353.74,353.74,353.74,353.74,353.74,353.74,353.74
18,58,362.99,356.62,354.25,356.62,356.62,356.62,356.62,356.62,356.62,356.62
19,54,358.0,357.33,350.47,357.33,357.33,357.33,357.33,357.33,357.33,357.33
20,102,383.28,379.57,371.5,379.57,379.57,379.57,379.57,379.57,379.57,379.57
21,86,408.56,401.96,392.53,401.96,401.96,401.96,401.96,401.96,401.96,401.96
22,106,433.84,424.51,414.82,424.51,424.51,424.51,424.51,424.51,424.51,424.51
23,69,443.85,440.55,431.82,440.55,440.55,440.55,440.55,440.55,440.55,440.55
24,37,421.87,425.45,417.9,425.45,425.45,425.45,425.45,425.45,425.45,425.45
25,118,447.15,447.9,438.79,447.9,447.9,447.9,447.9,447.9,447.9,447.9
26,65,453.16,460.08,455.06,460.08,460.08,460.08,460.08,460.08,460.08,460.08
27,51,445.17,459.37,458.67,459.37,459.37,459.37,459.37,459.37,459.37,459.37
28,119,470.45,480.96,478.63,481.31,480.96,480.96,480.96,480.96,480.96,480.96
29,115,495.73,502.71,498.58,503.74,502.71,502.71,502.71,502.71,502.71,502.71
30,68,504.74,519.61,518.53,522.72,519.61,519.61,519.61,519.61,519.61,519.61
31,106,530.02,541.27,538.48,543.45,541.27,541.27,541.27,541.27,541.27,541.27
32,118,555.31,563.08,559.34,564.91,563.08,563.08,563.08,563.08,563.08,563.08
33,98,580.59,585.01,580.2,586.36,585.01,585.01,585.01,585.01,585.01,585.01
34,109,605.87,607.08,601.06,607.82,607.08,607.08,607.08,607.08,607.08,607.08
35,78,624.88,629.27,621.92,629.27,629.27,629.27,629.27,629.27,629.27,629.27
36,149,650.16,651.59,642.78,650.73,651.59,651.59,651.59,651.59,651.59,651.59
37,133,675.44,674.03,663.63,672.18,674.03,674.03,674.03,674.03,674.03,674.03
38,89,700.72,696.58,685.14,694.34,696.58,696.58,696.58,696.58,696.58,696.58
39,143,726.0,719.25,708.18,716.5,719.25,719.25,719.25,719.25,719.25,719.25
40,103,751.28,742.04,733.75,738.66,742.04,742.04,742.04,742.04,742.04,742.04
41,128,776.56,764.93,759.33,760.82,764.93,764.93,764.93,764.93,764.93,764.93
42,113,801.84,787.94,784.91,784.0,787.94,787.94,787.94,787.94,787.94,787.94
43,132,827.12,811.05,810.48,807.18,811.05,811.05,811.05,811.05,811.05,811.05
44,119,852.4,834.26,838.63,830.36,834.26,834.26,834.26,834.26,834.26,834.26
